Week;Control;StimBlue+;StimBlue+ + NaCl;NaCl
13;1.699442;1.656721;1.555083136;1.70947624
13;;1.676531;1.873897491;1.84229056
13;;1.657377;1.790296108;1.823302107
13;;1.717157;1.755721851;1.633064993
13;1.9794;1.855456;1.848725137;1.669164648
13;2.013772;1.89225;1.887600175;1.64103433
13;1.94254;1.826495;1.869288766;1.797215883
13;1.614684;1.690629;1.799952236;1.653075671
13;1.637188;1.721642;1.726164887;1.630403357
13;1.639828;1.65845;1.647680064;1.679945101
13;;;;1.725250802
13;;;;1.627584025
13;;;;2.097550407
;;;;
;;;;
