pathway,gene
GO:0006903,Vitvi05_01chr07g01520
GO:0006903,Vitvi05_01chr07g01490
GO:0006903,Vitvi05_01chr06g06030
GO:0006903,Vitvi05_01chr04g15580
GO:0006903,Vitvi05_01chr07g01370
GO:0006903,Vitvi05_01chr09g11630
GO:0006903,Vitvi05_01chr07g01340
GO:0006903,Vitvi05_01chr18g04340
GO:0006915,Vitvi05_01chr07g19440
GO:0006915,Vitvi05_01chr10g16870
GO:0006915,Vitvi05_01chr07g01360
GO:0006915,Vitvi05_01chr14g08220
GO:0006915,Vitvi05_01chr07g01570
GO:0006915,Vitvi05_01chr13g16590
GO:0006915,Vitvi05_01chr10g16820
GO:0006915,Vitvi05_01chr11g12290
GO:0006915,Vitvi05_01chr07g01520
GO:0006915,Vitvi05_01chr07g01490
GO:0006915,Vitvi05_01chr04g15580
GO:0006915,Vitvi05_01chr08g05300
GO:0006915,Vitvi05_01chr07g01370
GO:0006915,Vitvi05_01chr09g11630
GO:0006915,Vitvi05_01chr07g01340
GO:0008625,Vitvi05_01chr07g19440
GO:0008625,Vitvi05_01chr07g01360
GO:0008625,Vitvi05_01chr07g01570
GO:0008625,Vitvi05_01chr13g16590
GO:0008625,Vitvi05_01chr11g12290
GO:0008625,Vitvi05_01chr07g01520
GO:0008625,Vitvi05_01chr07g01490
GO:0008625,Vitvi05_01chr04g15580
GO:0008625,Vitvi05_01chr07g01370
GO:0008625,Vitvi05_01chr09g11630
GO:0008625,Vitvi05_01chr07g01340
GO:0009896,Vitvi05_01chr07g19440
GO:0009896,Vitvi05_01chr07g01360
GO:0009896,Vitvi05_01chr07g01570
GO:0009896,Vitvi05_01chr13g16590
GO:0009896,Vitvi05_01chr00g08220
GO:0009896,Vitvi05_01chr15g18240
GO:0009896,Vitvi05_01chr11g12290
GO:0009896,Vitvi05_01chr07g01520
GO:0009896,Vitvi05_01chr07g01490
GO:0009896,Vitvi05_01chr04g15580
GO:0009896,Vitvi05_01chr04g05350
GO:0009896,Vitvi05_01chr08g05300
GO:0009896,Vitvi05_01chr07g01370
GO:0009896,Vitvi05_01chr09g11630
GO:0009896,Vitvi05_01chr07g01340
GO:0009896,Vitvi05_01chr14g16750
GO:0009896,Vitvi05_01chr07g16810
GO:0010506,Vitvi05_01chr07g19440
GO:0010506,Vitvi05_01chr15g09280
GO:0010506,Vitvi05_01chr07g01360
GO:0010506,Vitvi05_01chr07g01570
GO:0010506,Vitvi05_01chr13g16590
GO:0010506,Vitvi05_01chr15g18240
GO:0010506,Vitvi05_01chr11g12290
GO:0010506,Vitvi05_01chr07g01520
GO:0010506,Vitvi05_01chr08g08000
GO:0010506,Vitvi05_01chr07g01490
GO:0010506,Vitvi05_01chr04g15580
GO:0010506,Vitvi05_01chr08g05300
GO:0010506,Vitvi05_01chr07g01370
GO:0010506,Vitvi05_01chr09g11630
GO:0010506,Vitvi05_01chr07g01340
GO:0010506,Vitvi05_01chr06g01740
