"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi05_01chr03g02600","Vitvi05_01chr03g02600",196.953032652161,1.13612773389836,0.235153812983497,4.83142382206702,1.35560086255453e-06,0.00117770323574627
"PrxIII24a","Vitvi05_01chr18g23950",307.220096235265,-1.17351350104363,0.245327940067226,-4.78344823146542,1.72313285684982e-06,0.00139803512452415
"Vitvi05_01chr08g17130","Vitvi05_01chr08g17130",295.4394054045,-1.50979862643372,0.318418941883711,-4.7415477782258,2.12091624967909e-06,0.00165931397733822
"Vitvi05_01chr01g04940","Vitvi05_01chr01g04940",85.0154356127762,-1.53424293865081,0.326473539508252,-4.69944039251007,2.60875349490227e-06,0.00190491180197763
"Vitvi05_01chr06g02380","Vitvi05_01chr06g02380",811.690773055845,-1.29421158586257,0.27518655365963,-4.70303351908444,2.56324318757463e-06,0.00190491180197763
"Vitvi05_01chr18g01560","Vitvi05_01chr18g01560",1299.99384698194,1.02166821351655,0.21951753156165,4.65415316147369,3.253149284737e-06,0.00229882220101448
"F3H2","Vitvi05_01chr04g20250",8656.78559411412,-1.51194294600252,0.326905122310678,-4.62502066445332,3.74561056492802e-06,0.00256410453235354
"F3'5'H12","Vitvi05_01chr08g20000",145.279484696676,-2.14288135495197,0.470670693507149,-4.55282511639833,5.29302719882874e-06,0.00351360769144068
"Vitvi05_01chr01g08720","Vitvi05_01chr01g08720",14.2259488751089,3.65784180803173,0.807076299698101,4.53221313697354,5.8368911750687e-06,0.00365322680231585
"Vitvi05_01chr08g21200","Vitvi05_01chr08g21200",274.322265276651,-1.41223102870255,0.316425891430682,-4.46307039641199,8.07934944943161e-06,0.00491628413997913
"Vitvi05_01chr04g10010","Vitvi05_01chr04g10010",217.335625064057,1.55382080964972,0.350136863449241,4.43775269573972,9.09029739165605e-06,0.00538194742328696
"Vitvi05_01chr01g08730","Vitvi05_01chr01g08730",13.6018400150497,3.86017759813764,0.894639527987866,4.31478542739953,1.59757999815263e-05,0.00897348395885423
"FLS3","Vitvi05_01chr18g04530",434.041767745816,-1.23265380023746,0.291558072632843,-4.22781571131365,2.35970938776458e-05,0.0129229484620927
"Vitvi05_01chr13g05630","Vitvi05_01chr13g05630",4329.93182648771,-1.59751269848882,0.379167049032231,-4.21321605494529,2.51760028278154e-05,0.0131724135490969
"Vitvi05_01chr18g15820","Vitvi05_01chr18g15820",1338.59161534732,1.02251856374577,0.243649517512939,4.19667797491726,2.70858627986898e-05,0.0137986723364674
"Vitvi05_01chr01g11150","Vitvi05_01chr01g11150",1439.02524690046,-1.22098279505334,0.292471271515133,-4.17471018171495,2.98365645243551e-05,0.0148545405106937
"DFR1","Vitvi05_01chr18g14780",4559.88961247832,-1.130379003551,0.272090196617133,-4.15442753030015,3.26102948012077e-05,0.0158746915092279
